Symbol\Weightage,['apr12']
ADANIPORTS,0.74
ASIANPAINT,1.94
AXISBANK,2.73
BAJAJ-AUTO,0.65
BAJFINANCE,2.69
BAJAJFINSV,1.40
BPCL,0.59
BHARTIARTL,2.11
BRITANNIA,0.64
CIPLA,0.65
COALINDIA,0.41
DIVISLAB,0.89
DRREDDY,0.77
EICHERMOT,0.50
GRASIM,0.77
HCLTECH,1.73
HDFCBANK,9.29
HDFCLIFE,0.80
HEROMOTOCO,0.48
HINDALCO,0.92
HINDUNILVR,3.27
HDFC,6.79
ICICIBANK,6.70
ITC,2.49
IOC,0.38
INDUSINDBK,0.81
INFY,8.52
JSWSTEEL,0.90
KOTAKBANK,3.46
LT,2.72
M&M,1.02
MARUTI,1.23
NTPC,0.74
NESTLEIND,0.94
ONGC,0.59
POWERGRID,0.81
RELIANCE,9.83
SBILIFE,0.71
SHREECEM,0.51
SBIN,2.20
SUNPHARMA,1.15
TCS,5.28
TATACONSUM,0.70
TATAMOTORS,0.69
TATASTEEL,1.53
TECHM,1.21
TITAN,1.08
UPL,0.55
ULTRACEMCO,1.22
WIPRO,1.28
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['dec12']
,%
ACC,0.71
AMBUJACEM,0.81
ASIANPAINT,1.07
AXISBANK,1.95
BAJAJ-AUTO,1.53
BANKBARODA,0.78
BHARTIARTL,2.02
BHEL,0.96
BPCL,0.49
CAIRN,1.00
CIPLA,1.12
COALINDIA,1.20
DLF,0.45
DRREDDY,1.23
GAIL,0.86
GRASIM,1.07
HCLTECH,0.87
HDFC,6.81
HDFCBANK,6.60
HEROMOTOCO,0.97
HINDALCO,0.90
HINDUNILVR,2.87
ICICIBANK,7.00
IDFC,1.13
INFY,5.97
ITC,8.35
JINDALSTEL,0.92
JPASSOCIAT,0.59
KOTAKBANK,1.30
LT,4.63
LUPIN,0.78
M&M,2.28
MARUTI,1.05
NTPC,1.07
ONGC,2.53
PNB,0.62
POWERGRID,0.87
RANBAXY,0.41
RELIANCE,7.39
RELINFRA,0.38
SBIN,3.28
SESAGOA,0.41
SIEMENS,0.33
SUNPHARMA,1.48
TATAMOTORS,2.95
TATAPOWER,0.95
TATASTEEL,1.52
TCS,3.42
ULTRACEMCO,1.05
WIPRO,1.09
,100.00
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['dec13']
,%
ACC,0.501554093
AMBUJACEM,0.675552701
ASIANPAINT,1.073124251
AXISBANK,1.948068189
BAJAJ-AUTO,1.240153199
BANKBARODA,0.586438605
BHARTIARTL,1.900620464
BHEL,0.67589268
BPCL,0.434798386
CAIRN,0.926433891
CIPLA,0.983567798
COALINDIA,0.885852257
DLF,0.359600918
DRREDDY,1.552817023
GAIL,0.743577771
GRASIM,0.834633639
HCLTECH,1.628008598
HDFC,5.990325304
HDFCBANK,5.956142914
HEROMOTOCO,1.204114901
HINDALCO,0.762622804
HINDUNILVR,1.952756491
ICICIBANK,6.133444742
IDFC,0.665062126
INDUSINDBK,0.865508417
INFY,8.137341766
ITC,8.583922314
JINDALSTEL,0.482196909
JPASSOCIAT,0.320669771
KOTAKBANK,1.338447331
LT,4.214203442
LUPIN,1.047487494
M&M,2.10177152
MARUTI,1.12850318
NMDC,0.544032745
NTPC,1.365751914
ONGC,2.472149844
PNB,0.451109812
POWERGRID,1.064211435
RANBAXY,0.338489251
RELIANCE,7.115497819
SBIN,2.202318633
SSLT,1.207179375
SUNPHARMA,2.065933419
TATAMOTORS,3.271374545
TATAPOWER,0.707966003
TATASTEEL,1.367720967
TCS,5.358123669
ULTRACEMCO,0.866625992
WIPRO,1.766298689
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['dec14.zip']
ACC,0.47
AMBUJACEM,0.63
ASIANPAINT,1.22
AXISBANK,3.01
BAJAJ-AUTO,1.17
BANKBARODA,0.73
BHARTIARTL,1.74
BHEL,0.86
BPCL,0.60
CAIRN,0.49
CIPLA,1.14
COALINDIA,0.90
DLF,0.22
DRREDDY,1.47
GAIL,0.74
GRASIM,0.77
HCLTECH,1.54
HDFC,6.38
HDFCBANK,6.37
HEROMOTOCO,1.33
HINDALCO,0.72
HINDUNILVR,1.92
ICICIBANK,7.30
IDFC,0.75
INDUSINDBK,1.24
INFY,6.80
ITC,7.34
JINDALSTEL,0.20
KOTAKBANK,1.94
LT,4.36
LUPIN,1.22
M&M,2.03
MARUTI,1.57
NMDC,0.41
NTPC,1.06
ONGC,2.19
PNB,0.58
POWERGRID,1.09
RELIANCE,5.24
SBIN,3.44
SSLT,0.85
SUNPHARMA,2.22
TATAMOTORS,3.18
TATAPOWER,0.53
TATASTEEL,0.95
TCS,4.67
TECHM,1.40
ULTRACEMCO,0.98
WIPRO,1.30
ZEEL,0.74
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['dec15.zip']
ACC,0.45
ADANIPORTS,0.83
AMBUJACEM,0.55
ASIANPAINT,1.41
AXISBANK,2.65
BAJAJ-AUTO,1.22
BANKBARODA,0.52
